CAL_WO_ID,CAL_Level_ID,TestID,CAL_SP_ID,CAL_State_ID,CV,Deviation,Expected_RLU,RLU,CalDef_Conc,AnalyteMean,AnalyteCV,AnalyteSD,AnalyteMedian,RLU_SD,RLU_Median,CAL_SP_Onboard_Status
53,2,1559,105,6,0.574962225,-0.02390331,12504485,12088752,103,97.45087668,0.931833865,0.908080271,97.54255924,69505.75552,12095926,0
94,2,81,184,6,0.303779654,-0.028721134,6461657,6204374,20.5,19.80559761,0.257089391,0.05091809,19.79238625,18847.62587,6199483,0
82,2,365,161,6,0.135416189,-0.168990587,5840677,4587812,617,449.2849915,0.171484037,0.770452039,449.2849915,6212.64018,4587812,0
26,2,365,52,6,0.982023031,-0.166816659,5840677,4601990,617,451.0544775,1.243297203,5.607947704,452.6697471,45192.60171,4615063,0
73,2,84,143,6,0.743877976,-0.171392266,4183185,3280874,138,92.94034247,1.113957964,1.035316347,93.45790271,24405.70159,3293088,0
64,2,73,127,6,0.786181261,-0.40053067,2697585,1467819,14.5,7.545848051,0.813328268,0.061372515,7.580147025,11539.71531,1474268,0
38,2,497,78,6,0.707681943,0.102411701,2642124,3056777,3.81,4.470905871,0.786245252,0.035152285,4.463095099,21632.2565,3051982,0
92,2,85,180,6,1.766193687,-0.206137708,2034490,1512924,7.84,5.85793352,1.718735167,0.100682363,5.853684138,26721.16229,1511802,0
65,2,1831,129,6,0.17393795,-0.397959098,1909166,1042863,67.7,29.71007708,0.218721541,0.064982338,29.68239034,1813.933939,1042090,0
74,2,1832,145,6,0.763599517,-0.052959894,1902560,1767916,2.69,2.428995358,1.044504033,0.025370954,2.432711003,13499.79804,1769918,0
27,2,364,54,6,1.071631899,0.006620855,1785975,1802796,65.4,66.07264336,1.17012595,0.773133146,65.71680031,19319.34058,1793909,0
75,2,1829,147,6,2.339913921,-0.007788918,1657078,26345,157,0.212284921,29.91506657,0.063505175,0.180284001,616.4503224,26034,0
28,2,366,56,6,0.604096426,-0.206786126,1504503,1117524,509,360.7210097,0.689027217,2.485465933,361.3458757,6750.924554,1119224,0
48,1,72,94,6,1.561852458,-0.174663444,1411073,1098649,31,66.37770446,3.608319654,2.395119756,65.67171001,17159.27641,1103602,0
66,2,1828,131,6,2.294396093,-0.374780155,1383320,786916,538,300.1361202,2.335427918,7.009462741,301.9223657,18054.97761,791524,0
67,1,89,132,6,2.024541284,-0.014463373,1297359,1270986,22.7,24.541425,7.327970484,1.798388381,24.93986542,25731.62953,1264839,0
93,2,83,182,6,1.993723575,-0.067616609,1279305,1162530,1659,1500.892186,2.08497274,31.29319292,1490.930363,23177.63467,1155158,0
12,2,231,27,6,1.067535557,-0.23579383,1258354,893252,112,72.42219531,1.205321719,0.87292045,72.79189266,9535.782716,897300,0
68,2,1826,135,6,0.337603009,-0.107499271,1153661,990712,83.1,63.14547775,0.549408388,0.346926551,63.1760192,3344.673527,991013,0
54,1,87,106,6,1.803413836,-0.023556919,1060325,1025626,21.7,23.15391021,3.408079386,0.789103641,23.44578604,18496.2872,1018671,0
63,2,1830,125,6,3.760111791,-0.433566972,971598,499363,500,239.19617,3.203416705,7.662450067,240.9720401,18776.60704,503921,0
47,2,1824,93,6,0.560267289,-0.108652097,933631,800032,158,132.8872851,0.613105879,0.814739757,132.6414113,4482.315733,798681,0
74,1,1832,144,6,2.354735618,-0.112751182,681804,586678,0.782,0.667248137,2.455906951,0.016386993,0.671902198,13814.72368,590617,0
56,1,1823,110,6,1.055614067,-0.053772975,674108,624828,49,57.00775123,2.035554105,1.160423621,57.09745241,6595.768745,624269,0
91,2,233,178,6,2.829809924,-0.133257838,658124,545109,3.54,2.926496987,2.850214485,0.083411441,2.926496987,15425.53443,545108.5,0
17,2,233,35,6,1.382548442,-0.050679685,658124,613084,3.54,3.294926671,1.397880963,0.046059153,3.271236791,8476.187901,608725,0
67,2,89,133,6,1.039659375,-0.007921628,590928,584287,123,124.6550814,1.214284567,1.513667416,125.3375801,6074.598039,581542,0
46,1,1821,90,6,2.435613716,-0.063360306,511909,468025,76.6,94.51733315,5.232322035,4.945451249,91.89556742,11399.27297,474053,0
73,1,84,142,6,6.27769574,-0.280035224,491466,339093,10.3,7.063005708,6.352685845,0.448690564,7.116243916,21287.24774,341631,0
